day_time,count,distance,calorie,speed,recommendation
1649923200000,93,70.36999893188477,3.180000066757202,5.0849609375,6000
1649926800000,0,0.0,0.0,0,6000
1649930400000,0,0.0,0.0,0,6000
1649934000000,0,0.0,0.0,0,6000
1649937600000,39,30.809999465942383,1.2799999713897705,6.300000190734863,6000
1649941200000,1783,1419.099992275238,54.330000311136246,5.943747202555339,6000
1649944800000,0,0.0,0.0,0,6000
1649948400000,0,0.0,0.0,0,6000
1649952000000,0,0.0,0.0,0,6000
1649955600000,2369,1870.8799362182617,73.90999734401703,5.597220102945964,6000
1649959200000,829,629.0999984741211,29.21999955177307,4.818557500839233,6000
1649962800000,128,94.43999862670898,4.85999995470047,4.325326442718506,6000
1649966400000,75,54.4900016784668,2.940000057220459,3.9000003337860107,6000
1649970000000,3310,2539.290020942688,107.6499993801117,4.916201591491699,6000
1649973600000,140,102.72999048233032,5.4599995613098145,4.163111686706543,6000
1649977200000,0,0.0,0.0,0,6000
1649980800000,37,27.49000072479248,1.3700000047683716,4.265969753265381,6000
1650070800000,0,0.0,0.0,0,6000
1650074400000,0,0.0,0.0,0,6000
1650078000000,0,0.0,0.0,0,6000
1650081600000,0,0.0,0.0,0,6000
1650085200000,0,0.0,0.0,0,6000
1650088800000,0,0.0,0.0,0,6000
1650092400000,0,0.0,0.0,0,6000
1650096000000,0,0.0,0.0,0,6000
1650099600000,0,0.0,0.0,0,6000
1650103200000,18,13.0,0.6600000262260437,3.700000047683716,6000
1650106800000,12,9.289999961853027,0.41999998688697815,5.099999904632568,6000
1650110400000,0,0.0,0.0,0,6000
1650114000000,0,0.0,0.0,0,6000
1650117600000,22,16.630001068115234,0.7899999618530273,4.623804569244385,6000
1650121200000,0,0.0,0.0,0,6000
1650124800000,16,12.329999923706055,0.5099999904632568,5.199999809265137,6000
1650128400000,0,0.0,0.0,0,6000
1650132000000,887,681.6099963188171,30.119999825954437,5.05381457010905,6000
1650135600000,928,707.8799955844879,31.49999983422458,4.902074909210205,6000
1650139200000,251,189.3400058746338,9.079999774694443,4.868011713027954,6000
1650142800000,3735,2886.099998474121,116.62000060081482,5.382909536361694,6000
1650146400000,76,56.0399866104126,2.9599993228912354,4.166094779968262,6000
1650150000000,15,11.3100004196167,0.5299999713897705,4.700000286102295,6000
1650153600000,41,31.680000066757202,1.3900000229477882,5.383854866027832,6000
1650070800000,0,0.0,0.0,0,6000
1650074400000,0,0.0,0.0,0,6000
1650078000000,0,0.0,0.0,0,6000
1650081600000,0,0.0,0.0,0,6000
1650085200000,0,0.0,0.0,0,6000
1650088800000,0,0.0,0.0,0,6000
1650092400000,0,0.0,0.0,0,6000
1650096000000,0,0.0,0.0,0,6000
1650099600000,0,0.0,0.0,0,6000
1650103200000,18,13.0,0.6600000262260437,3.700000047683716,6000
1650106800000,12,9.289999961853027,0.41999998688697815,5.099999904632568,6000
1650110400000,0,0.0,0.0,0,6000
1650114000000,0,0.0,0.0,0,6000
1650117600000,22,16.630001068115234,0.7899999618530273,4.623804569244385,6000
1650121200000,0,0.0,0.0,0,6000
1650124800000,16,12.329999923706055,0.5099999904632568,5.199999809265137,6000
1650128400000,0,0.0,0.0,0,6000
1650132000000,887,681.6099963188171,30.119999825954437,5.05381457010905,6000
1650135600000,928,707.8799955844879,31.49999983422458,4.902074909210205,6000
1650139200000,251,189.3400058746338,9.079999774694443,4.868011713027954,6000
