binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,pkg_name,datauuid,day_time
2fab6a75-3578-4cd1-aa00-92cafeee1976.binning_data.json,2022-02-14 20:43:39.804,2022-02-14 06:59:08.322,com.sec.android.app.shealth,-2,8200,1.6150414,6518.49,279.34,com.sec.android.app.shealth,2fab6a75-3578-4cd1-aa00-92cafeee1976,1644796800000,
ed6fcb8f-bd12-4f57-92a2-c5a92e84a84d.binning_data.json,2022-02-13 20:38:07.432,2022-02-13 20:38:07.432,com.sec.android.app.shealth,0,46,1.2155591,34.81,1.6899999,com.sec.android.app.shealth,ed6fcb8f-bd12-4f57-92a2-c5a92e84a84d,1644364800000,
da1b0151-6efd-4c5c-9ffe-a6d30b57ea1b.binning_data.json,2022-02-13 20:38:07.444,2022-02-13 20:38:07.444,com.sec.android.app.shealth,-2,4049,1.5749218,3162.8699,126.46999,com.sec.android.app.shealth,da1b0151-6efd-4c5c-9ffe-a6d30b57ea1b,1644710400000,
9e1321ff-e1f4-46ba-a458-b9e4430ccf79.binning_data.json,2022-02-13 20:38:07.443,2022-02-13 20:38:07.443,com.sec.android.app.shealth,-2,46,1.2155591,34.81,1.6899999,com.sec.android.app.shealth,9e1321ff-e1f4-46ba-a458-b9e4430ccf79,1644364800000,
7f5ddee3-564b-4314-a7a8-d88c7f9245fe.binning_data.json,2022-02-13 20:38:07.721,2022-02-13 20:38:07.721,com.sec.android.app.shealth,0,4049,1.5749218,3162.8699,126.46999,com.sec.android.app.shealth,7f5ddee3-564b-4314-a7a8-d88c7f9245fe,1644710400000,
64c5da7e-f0f3-4107-87c8-28e8a9720508.binning_data.json,2022-02-15 07:04:54.308,2022-02-15 07:04:54.308,com.sec.android.app.shealth,0,8200,1.6150414,6518.49,279.34,com.sec.android.app.shealth,64c5da7e-f0f3-4107-87c8-28e8a9720508,1644796800000,
bd38f738-f8f4-4483-b625-77b8f2cc059b.binning_data.json,2022-02-15 20:30:08.733,2022-02-15 08:43:08.861,com.sec.android.app.shealth,-2,6862,1.5515815,5366.85,224.33,com.sec.android.app.shealth,bd38f738-f8f4-4483-b625-77b8f2cc059b,1644883200000,
dc810ba0-f051-4642-96fc-26305630ff4a.binning_data.json,2022-02-17 19:56:32.738,2022-02-17 07:27:17.004,com.sec.android.app.shealth,-2,7031,1.5373445,5512.48,235.97,com.sec.android.app.shealth,dc810ba0-f051-4642-96fc-26305630ff4a,1645056000000,
2435166c-d73c-48a1-b0ae-5c5a2c4f86d7.binning_data.json,2022-02-16 20:35:02.575,2022-02-16 07:47:40.639,com.sec.android.app.shealth,-2,9037,1.5045344,7004.9,300.17,com.sec.android.app.shealth,2435166c-d73c-48a1-b0ae-5c5a2c4f86d7,1644969600000,
5a8d5b5a-35e1-4ad3-8003-8af7c73d579c.binning_data.json,2022-02-16 07:27:50.961,2022-02-16 07:27:50.961,com.sec.android.app.shealth,0,6862,1.5515815,5366.85,224.33,com.sec.android.app.shealth,5a8d5b5a-35e1-4ad3-8003-8af7c73d579c,1644883200000,
f2391bf3-380d-454c-8568-5e4d891fcb64.binning_data.json,2022-02-17 07:22:38.839,2022-02-17 07:22:38.839,com.sec.android.app.shealth,0,9037,1.5045344,7004.9,300.17,com.sec.android.app.shealth,f2391bf3-380d-454c-8568-5e4d891fcb64,1644969600000,
dd89c58d-e6e3-47c8-8532-4dac149aaba2.binning_data.json,2022-02-18 20:15:36.787,2022-02-18 07:40:59.871,com.sec.android.app.shealth,-2,4724,1.5602709,3680.69,151.86,com.sec.android.app.shealth,dd89c58d-e6e3-47c8-8532-4dac149aaba2,1645142400000,
2058aacf-ae1d-4790-bccd-f393484daeec.binning_data.json,2022-02-18 06:12:21.227,2022-02-18 06:12:21.227,com.sec.android.app.shealth,0,7031,1.5373445,5512.48,235.97,com.sec.android.app.shealth,2058aacf-ae1d-4790-bccd-f393484daeec,1645056000000,
4c3c8b69-59d2-4706-a601-9bcb1f2d0222.binning_data.json,2022-02-20 19:38:30.956,2022-02-20 08:36:56.906,com.sec.android.app.shealth,-2,4324,1.5532112,3391.02,144.55,com.sec.android.app.shealth,4c3c8b69-59d2-4706-a601-9bcb1f2d0222,1645315200000,
c374a6dc-d38f-45b8-98f4-fc24f241be64.binning_data.json,2022-02-20 07:49:01.486,2022-02-19 07:37:21.216,com.sec.android.app.shealth,-2,8727,1.4458039,6713.73,300.81,com.sec.android.app.shealth,c374a6dc-d38f-45b8-98f4-fc24f241be64,1645228800000,
096478ad-b37b-411b-9c93-6979b0d66e7f.binning_data.json,2022-02-19 00:27:24.710,2022-02-19 00:27:24.710,com.sec.android.app.shealth,0,4724,1.5602709,3680.69,151.86,com.sec.android.app.shealth,096478ad-b37b-411b-9c93-6979b0d66e7f,1645142400000,
11c98aa3-685f-43c7-9a85-b31e92b13b87.binning_data.json,2022-02-21 19:51:29.013,2022-02-21 06:53:04.789,com.sec.android.app.shealth,-2,4453,1.5185236,3476.6,149.42,com.sec.android.app.shealth,11c98aa3-685f-43c7-9a85-b31e92b13b87,1645401600000,
b7fab47e-ebf2-4716-a558-b52954b2dfe4.binning_data.json,2022-02-23 20:23:50.672,2022-02-23 06:55:15.679,com.sec.android.app.shealth,-2,7302,1.5608817,5733.3,238.93,com.sec.android.app.shealth,b7fab47e-ebf2-4716-a558-b52954b2dfe4,1645574400000,
8fefed31-08e1-41bb-a907-c2e8feb6c719.binning_data.json,2022-02-21 06:23:56.685,2022-02-21 06:23:56.685,com.sec.android.app.shealth,0,4324,1.5532112,3391.02,144.55,com.sec.android.app.shealth,8fefed31-08e1-41bb-a907-c2e8feb6c719,1645315200000,
c8cf5a80-3efd-40e8-9496-6a413db525e1.binning_data.json,2022-02-20 07:48:56.504,2022-02-20 07:48:56.504,com.sec.android.app.shealth,0,8727,1.4458039,6713.73,300.81,com.sec.android.app.shealth,c8cf5a80-3efd-40e8-9496-6a413db525e1,1645228800000,
a9460b88-b1be-4740-8e65-35a4ca3b9418.binning_data.json,2022-02-22 20:00:59.766,2022-02-22 07:29:48.968,com.sec.android.app.shealth,-2,8980,1.5720311,7047.08,292.4,com.sec.android.app.shealth,a9460b88-b1be-4740-8e65-35a4ca3b9418,1645488000000,
b149c446-1427-4d98-9838-6e1b24aa32f4.binning_data.json,2022-02-22 07:24:49.604,2022-02-22 07:24:49.604,com.sec.android.app.shealth,0,4453,1.5185236,3476.6,149.42,com.sec.android.app.shealth,b149c446-1427-4d98-9838-6e1b24aa32f4,1645401600000,
f98ff3a0-0f5b-438f-b9dd-04db14a66a8f.binning_data.json,2022-02-24 20:11:53.502,2022-02-24 07:32:37.971,com.sec.android.app.shealth,-2,9671,1.5970293,7615.39,312.55,com.sec.android.app.shealth,f98ff3a0-0f5b-438f-b9dd-04db14a66a8f,1645660800000,
cb139216-cd6c-4a94-931f-7be0b8ee84b2.binning_data.json,2022-02-24 06:49:14.371,2022-02-24 06:49:14.371,com.sec.android.app.shealth,0,7302,1.5608817,5733.3,238.93,com.sec.android.app.shealth,cb139216-cd6c-4a94-931f-7be0b8ee84b2,1645574400000,
addcb3ef-7632-4e0a-8382-cc04f38f6800.binning_data.json,2022-02-26 20:28:08.150,2022-02-26 07:17:58.065,com.sec.android.app.shealth,-2,7694,1.5120311,6012.62,257.57,com.sec.android.app.shealth,addcb3ef-7632-4e0a-8382-cc04f38f6800,1645833600000,
f0dd0662-034d-48ee-b6a5-f869c71cf441.binning_data.json,2022-02-23 06:52:38.798,2022-02-23 06:52:38.798,com.sec.android.app.shealth,0,8980,1.5720311,7047.08,292.4,com.sec.android.app.shealth,f0dd0662-034d-48ee-b6a5-f869c71cf441,1645488000000,
65b7750d-e35b-4397-a13e-61605d8350c1.binning_data.json,2022-02-25 20:17:11.663,2022-02-25 06:57:33.146,com.sec.android.app.shealth,-2,7051,1.5744573,5578.02,236.63,com.sec.android.app.shealth,65b7750d-e35b-4397-a13e-61605d8350c1,1645747200000,
aeab50c5-10af-48b8-a664-03593210bc6b.binning_data.json,2022-02-27 19:58:39.536,2022-02-27 07:57:14.556,com.sec.android.app.shealth,-2,3152,1.555432,2495.77,109.07,com.sec.android.app.shealth,aeab50c5-10af-48b8-a664-03593210bc6b,1645920000000,
3c454f9e-491a-4edc-ba2d-e1c5890995ea.binning_data.json,2022-02-25 06:57:25.855,2022-02-25 06:57:25.855,com.sec.android.app.shealth,0,9671,1.5970293,7615.39,312.55,com.sec.android.app.shealth,3c454f9e-491a-4edc-ba2d-e1c5890995ea,1645660800000,
dd4fcebc-ae1e-4ac6-ac9f-1e3feb760d3c.binning_data.json,2022-03-01 20:18:56.947,2022-03-01 07:36:50.281,com.sec.android.app.shealth,-2,7565,1.5586493,5914.39,247.19,com.sec.android.app.shealth,dd4fcebc-ae1e-4ac6-ac9f-1e3feb760d3c,1646092800000,
b281df14-cefb-4b9e-be09-62f16021b3cc.binning_data.json,2022-02-27 07:43:32.100,2022-02-27 07:43:32.100,com.sec.android.app.shealth,0,7694,1.5120311,6012.62,257.57,com.sec.android.app.shealth,b281df14-cefb-4b9e-be09-62f16021b3cc,1645833600000,
ef4258dd-aca7-4d7d-9e30-5219c1bc3181.binning_data.json,2022-02-28 20:01:44.171,2022-02-27 23:36:22.604,com.sec.android.app.shealth,-2,6482,1.5489204,5105.79,224.04,com.sec.android.app.shealth,ef4258dd-aca7-4d7d-9e30-5219c1bc3181,1646006400000,
2e98b13d-cf77-4e0b-9aae-b8a60c75335b.binning_data.json,2022-02-26 06:49:21.859,2022-02-26 06:49:21.859,com.sec.android.app.shealth,0,7051,1.5744573,5578.02,236.63,com.sec.android.app.shealth,2e98b13d-cf77-4e0b-9aae-b8a60c75335b,1645747200000,
981fade5-897f-4b55-93b3-1e196f32549e.binning_data.json,2022-03-02 20:05:57.878,2022-03-02 06:45:26.367,com.sec.android.app.shealth,-2,7669,1.5140814,5966.76,255.02,com.sec.android.app.shealth,981fade5-897f-4b55-93b3-1e196f32549e,1646179200000,
6ae0a942-6b66-43a6-bab5-a19d084ee7f8.binning_data.json,2022-03-02 06:38:06.109,2022-03-02 06:38:06.109,com.sec.android.app.shealth,0,7565,1.5586493,5914.39,247.19,com.sec.android.app.shealth,6ae0a942-6b66-43a6-bab5-a19d084ee7f8,1646092800000,
f7e6c184-d86e-4081-937b-18b5b14bfe28.binning_data.json,2022-03-05 20:36:37.989,2022-03-05 07:10:03.307,com.sec.android.app.shealth,-2,10536,1.4486836,8111.96,367.07,com.sec.android.app.shealth,f7e6c184-d86e-4081-937b-18b5b14bfe28,1646438400000,
b4b8003e-e7e0-4dc8-92c2-217663adf4f3.binning_data.json,2022-02-27 23:00:01.642,2022-02-27 23:00:01.642,com.sec.android.app.shealth,0,3152,1.555432,2495.77,109.07,com.sec.android.app.shealth,b4b8003e-e7e0-4dc8-92c2-217663adf4f3,1645920000000,
9c2ed7e8-a385-49a0-aa56-7b66bbbd7ded.binning_data.json,2022-03-04 20:17:18.777,2022-03-04 07:00:00.977,com.sec.android.app.shealth,-2,6504,1.5411987,5081.72,212.3,com.sec.android.app.shealth,9c2ed7e8-a385-49a0-aa56-7b66bbbd7ded,1646352000000,
5e13224a-b54a-4913-aaba-a6d2f48d35e7.binning_data.json,2022-03-01 07:15:57.370,2022-03-01 07:15:57.370,com.sec.android.app.shealth,0,6482,1.5489204,5105.79,224.04,com.sec.android.app.shealth,5e13224a-b54a-4913-aaba-a6d2f48d35e7,1646006400000,
836ed2ee-31cb-421c-8b9f-ca5906740f9d.binning_data.json,2022-03-03 21:15:38.361,2022-03-03 08:17:52.211,com.sec.android.app.shealth,-2,3215,1.4754596,2495.21,111.71,com.sec.android.app.shealth,836ed2ee-31cb-421c-8b9f-ca5906740f9d,1646265600000,
684f8d61-6ad9-4bce-a8a0-6b0adcd34d43.binning_data.json,2022-03-05 07:09:59.452,2022-03-05 07:09:59.452,com.sec.android.app.shealth,0,6504,1.5411987,5081.72,212.3,com.sec.android.app.shealth,684f8d61-6ad9-4bce-a8a0-6b0adcd34d43,1646352000000,
573edf79-4e74-463c-8680-dcbb60880a84.binning_data.json,2022-03-08 20:16:10.082,2022-03-08 06:32:11.113,com.sec.android.app.shealth,-2,10566,1.6426047,8413.78,350.45,com.sec.android.app.shealth,573edf79-4e74-463c-8680-dcbb60880a84,1646697600000,
f7143738-cf1b-40c5-af52-064e038d6693.binning_data.json,2022-03-03 07:06:42.616,2022-03-03 07:06:42.616,com.sec.android.app.shealth,0,7669,1.5140814,5966.76,255.02,com.sec.android.app.shealth,f7143738-cf1b-40c5-af52-064e038d6693,1646179200000,
17e27256-3cfc-4509-97a3-56d187dcbf0a.binning_data.json,2022-03-07 20:01:22.241,2022-03-07 07:01:08.813,com.sec.android.app.shealth,-2,3612,1.5519723,2846.9,122.74999,com.sec.android.app.shealth,17e27256-3cfc-4509-97a3-56d187dcbf0a,1646611200000,
34ef20ae-6ee7-4448-a6e8-70ff75cfd2a9.binning_data.json,2022-03-08 06:24:58.562,2022-03-08 06:24:58.562,com.sec.android.app.shealth,0,3612,1.5519723,2846.9,122.74999,com.sec.android.app.shealth,34ef20ae-6ee7-4448-a6e8-70ff75cfd2a9,1646611200000,
e58dedea-f9ef-4a36-aa63-4e80692181cd.binning_data.json,2022-03-06 20:15:44.381,2022-03-06 07:30:57.763,com.sec.android.app.shealth,-2,5539,1.4514693,4268.96,187.03,com.sec.android.app.shealth,e58dedea-f9ef-4a36-aa63-4e80692181cd,1646524800000,
